v4_0,financial-and-calendar-years,Time,uk-only,Geography,quintile,Quintile,averages-and-percentiles,AveragesAndPercentiles,income-type,Income,value-deflation,Deflation
18456,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
54744,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
14867,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
10458,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
10505,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
13642,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
25536,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
23432,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
20123,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
16616,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
16871,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
28169,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
24088,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
22393,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
25360,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
23353,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
17303,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
9214,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
12602,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
10553,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
27890,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
6713,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
30714,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
4239,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
6382,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
14672,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
41768,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
16195,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
14730,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
35340,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
65234,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
10247,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
23241,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
15782,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
18273,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
17047,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
17082,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
16033,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
26410,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
35643,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
15961,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
36851,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
28030,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
19612,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
29684,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
42782,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
39302,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
7229,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
20822,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
16630,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
17112,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
16095,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
26118,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
26018,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
6861,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
9681,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
952,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
20834,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
21445,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
33689,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
45306,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
15352,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
23154,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
12385,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
3274,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
9742,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
10471,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
10545,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
50040,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
11237,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
20395,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
8115,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
24607,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
6914,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
9651,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
7400,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
13642,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
8256,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
22073,1996-97,1996-97,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
6470,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
32785,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
16122,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
25382,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
21638,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
22692,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
42207,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
27653,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
14050,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
2145,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
14777,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
20060,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
10638,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
4563,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
7362,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
16731,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
10610,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
13362,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
11294,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
20822,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
20447,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
13650,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
11192,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
11053,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
13143,1996-97,1996-97,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
16158,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
6904,1995-96,1995-96,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
21810,1995-96,1995-96,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
24231,1995-96,1995-96,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
12936,1995-96,1995-96,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
13516,1995-96,1995-96,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
29717,1995-96,1995-96,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
25001,1995-96,1995-96,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
18436,1995-96,1995-96,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
19697,1995-96,1995-96,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
39109,1995-96,1995-96,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
26628,1995-96,1995-96,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
42804,1995-96,1995-96,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
12731,1995-96,1995-96,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
25011,1995-96,1995-96,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
34302,1995-96,1995-96,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
31403,1995-96,1995-96,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
16573,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
16069,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
15300,1995-96,1995-96,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
4415,1995-96,1995-96,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
9637,1995-96,1995-96,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
19906,1995-96,1995-96,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
40398,1995-96,1995-96,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
17029,1995-96,1995-96,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
10141,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
23254,1995-96,1995-96,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
34103,1995-96,1995-96,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
21061,1995-96,1995-96,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
7859,1995-96,1995-96,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
20214,1995-96,1995-96,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
33636,1995-96,1995-96,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
9461,1995-96,1995-96,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
10170,1995-96,1995-96,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
1123,1995-96,1995-96,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
2174,1995-96,1995-96,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
6527,1995-96,1995-96,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
8038,1995-96,1995-96,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
9152,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
38266,1995-96,1995-96,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
24254,1995-96,1995-96,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
10717,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
14345,1995-96,1995-96,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
